Search Gene	Found FBGN	Found Gene	embryo 00-02hr	embryo 02-04hr	embryo 04-06hr	embryo 06-08hr	embryo 08-10hr	embryo 10-12hr	embryo 12-14hr	embryo 14-16hr	embryo 16-18hr	embryo 18-20hr	embryo 20-22hr	embryo 22-24hr	larva L1	larva L2	larva L3 12hr old	larva L3 puffstage 1-2	larva L3 puffstage 3-6	larva L3 puffstage 7-9	white prepupae new	white prepupae 12hr	white prepupae 24hr	pupae 2d postWPP	pupae 3d postWPP	pupae 4d postWPP	adult male 01day	adult male 05day	adult male 30day	adult female 01day	adult female 05day	adult female 30day
FBgn0028983	FBgn0028983	Spn55B	4	10	17	13	11	20	22	45	53	61	66	68	59	73	58	80	44	38	28	29	14	15	9	14	17	18	21	18	11	16
FBgn0028984	FBgn0028984	Spn88Ea	81	67	25	10	20	33	41	115	224	114	48	60	30	76	56	32	43	63	116	162	92	226	68	67	25	31	38	49	52	55
FBgn0028988	FBgn0028988	Spn42Dd	0	0	1	1	1	5	6	3	1	1	1	2	3	3	2	4	12	22	30	42	47	20	9	25	29	38	39	9	6	9
FBgn0028990	FBgn0028990	Spn27A	31	42	21	21	30	43	36	34	32	56	32	32	29	27	37	35	36	33	44	226	104	102	20	24	23	22	30	27	23	27
FBgn0028991	FBgn0028991	seq	34	47	68	114	85	46	52	51	34	28	28	22	17	6	6	7	17	18	19	22	26	17	8	9	10	14	19	17	19	20
FBgn0028992	FBgn0028992	sds22	53	39	19	13	12	16	16	7	8	5	4	5	10	22	18	25	34	48	50	34	39	32	19	11	18	25	20	16	38	35
FBgn0028996	FBgn0028996	onecut	0	1	1	3	6	8	16	9	10	7	5	8	6	2	1	1	3	4	5	7	8	7	5	2	4	4	4	1	1	1
FBgn0028997	FBgn0028997	nmdyn-D7	23	8	20	18	14	5	3	1	1	1	0	1	0	1	2	6	11	17	13	22	30	31	29	22	39	53	53	6	15	15
FBgn0028999	FBgn0028999	nerfin-1	0	4	12	53	67	58	65	16	8	4	2	2	1	1	2	4	11	18	21	17	5	1	0	0	0	0	0	0	0	0
FBgn0029002	FBgn0029002	miple2	4	19	67	149	142	150	197	89	74	42	16	21	13	9	9	24	55	103	166	113	216	152	54	13	15	8	7	16	9	10
FBgn0029003	FBgn0029003	mab-21	0	2	4	29	50	98	72	48	28	25	17	17	13	8	7	16	28	41	40	43	84	29	9	7	4	3	3	3	1	1
FBgn0029006	FBgn0029006	Smurf	55	85	67	44	42	24	33	33	30	17	27	27	12	9	8	9	16	19	21	23	35	31	20	18	25	30	32	21	33	34
FBgn0029067	FBgn0029067	Dd	25	29	25	18	18	12	14	9	11	6	12	14	5	6	4	3	5	10	12	9	9	7	4	4	6	6	5	7	14	15
FBgn0029079	FBgn0029079	icln	102	107	34	27	35	26	27	31	21	10	23	19	23	26	18	20	29	33	36	39	50	29	14	10	7	10	14	44	67	64
FBgn0029082	FBgn0029082	hbs	0	3	12	26	29	24	22	18	18	14	5	5	5	3	2	2	5	6	8	14	26	21	9	2	2	1	1	1	0	0
FBgn0029084	FBgn0029084	gom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	5	10	17	18	16	13	23	34	27	0	0	0
FBgn0029088	FBgn0029088	disp	22	28	22	21	18	10	12	9	8	6	11	10	4	3	3	5	9	13	15	15	18	11	6	5	5	6	7	10	17	17
FBgn0029091	FBgn0029091	CS-2	0	1	2	11	19	15	11	5	3	5	7	7	8	6	7	6	7	6	5	57	18	4	2	13	12	16	16	10	5	6
FBgn0029092	FBgn0029092	ced-6	105	65	38	40	55	64	61	53	53	37	59	60	12	23	21	29	79	93	68	86	50	57	33	48	37	35	31	57	98	97
FBgn0029093	FBgn0029093	cathD	51	98	111	104	73	68	33	38	29	21	22	19	21	44	50	151	266	277	335	193	228	150	84	91	113	161	158	95	69	81
FBgn0029094	FBgn0029094	asf1	107	57	85	54	38	27	13	9	8	7	6	7	18	22	14	15	18	22	20	21	18	9	6	7	7	7	7	26	59	62
FBgn0029095	FBgn0029095	aru	7	10	16	32	35	65	52	51	30	29	31	25	23	17	16	12	13	12	17	12	30	30	25	14	18	17	20	18	11	12
FBgn0029105	FBgn0029105	alpha-catenin-related	0	0	0	0	0	3	4	7	8	9	9	9	8	3	1	1	2	2	2	4	5	4	4	4	5	5	6	2	1	1
FBgn0029113	FBgn0029113	Uba2	131	159	113	98	95	66	58	44	35	16	44	40	22	29	25	31	45	56	51	64	79	30	13	12	13	17	17	44	83	82
FBgn0029114	FBgn0029114	Tollo	8	16	30	31	31	15	20	10	6	4	2	3	2	3	2	2	7	11	13	14	17	11	4	2	2	2	1	3	6	7
FBgn0029117	FBgn0029117	Surf1	26	5	2	6	12	20	12	15	11	9	6	4	13	19	19	11	12	10	9	8	12	20	23	14	14	15	20	20	21	24
FBgn0029118	FBgn0029118	Sucb	24	42	52	49	53	85	61	47	40	33	32	31	49	61	72	73	48	36	37	37	37	43	21	15	21	22	21	22	24	23
FBgn0029123	FBgn0029123	SoxN	3	73	90	62	44	26	32	33	23	23	12	10	11	8	4	4	10	32	41	16	16	9	5	5	4	5	5	3	1	1
FBgn0029131	FBgn0029131	Debcl	61	6	1	2	4	11	12	12	10	7	6	6	9	10	12	9	10	10	12	20	13	13	9	21	14	14	17	31	39	46
FBgn0029133	FBgn0029133	REG	103	114	115	115	114	123	72	37	32	24	30	31	57	62	41	29	35	42	37	37	42	29	24	22	27	29	30	59	93	93
FBgn0029134	FBgn0029134	Prosbeta5	387	455	185	113	129	140	78	62	45	40	46	42	66	146	120	163	254	329	353	141	148	96	88	150	120	113	123	188	225	233
FBgn0029137	FBgn0029137	Patsas	4	2	3	3	1	1	1	4	4	5	5	4	5	1	1	0	1	0	0	1	1	3	7	6	4	4	4	3	2	2
FBgn0029147	FBgn0029147	NtR	0	1	4	12	20	26	24	23	18	11	3	4	5	5	11	13	12	9	15	14	10	5	9	10	12	10	8	9	5	3
FBgn0029148	FBgn0029148	NHP2	67	96	160	209	221	214	161	118	83	52	117	94	252	99	58	27	31	36	30	32	28	30	15	26	12	12	17	95	93	97
FBgn0029152	FBgn0029152	Mkrn1	50	61	28	29	32	26	26	17	18	11	24	25	6	6	5	7	13	18	20	21	23	19	16	12	18	20	18	16	35	31
FBgn0029153	FBgn0029153	Menl-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	6	11	17	23	25	23	41	52	56	0	0	0
FBgn0029154	FBgn0029154	Menl-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	6	11	17	23	25	23	41	52	56	0	0	0
FBgn0029157	FBgn0029157	ssh	75	33	19	24	22	19	18	17	13	15	10	9	11	8	8	12	21	24	27	33	39	31	23	30	40	52	59	38	53	58
FBgn0029158	FBgn0029158	Las	31	15	14	14	18	20	15	14	16	19	26	26	26	22	22	11	12	13	12	12	15	21	26	31	40	48	44	26	21	23
FBgn0029161	FBgn0029161	slmo	113	82	52	56	58	70	56	78	70	67	85	76	150	111	87	56	46	41	36	47	53	58	74	255	179	186	189	183	97	93
FBgn0029167	FBgn0029167	Hml	0	0	0	0	0	0	0	0	0	3	6	8	8	10	23	19	21	6	1	1	1	1	2	12	9	8	5	5	3	2
FBgn0029170	FBgn0029170	TwdlT	0	2	6	4	2	1	4	71	150	37	2	3	1	81	43	0	1	2	6	50	34	314	2312	74	3	3	4	6	1	1
FBgn0029172	FBgn0029172	Fad2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	80	90	105
FBgn0029174	FBgn0029174	FKBP59	128	16	16	20	29	60	41	28	26	18	22	23	76	82	68	48	56	63	63	64	77	64	39	37	37	52	43	89	150	144
FBgn0029175	FBgn0029175	Ext2	17	15	11	11	12	13	13	7	7	5	5	6	5	4	2	3	5	7	8	8	11	14	12	4	6	6	5	4	9	9
FBgn0029176	FBgn0029176	Ef1gamma	1225	2003	1730	1405	1403	1111	1012	996	820	882	891	776	1203	1491	1313	1054	1050	1040	911	704	772	636	515	574	488	451	506	1165	1228	1310
FBgn0029501	FBgn0029501	Crtp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	8	7	16	28	31	28	25	47	65	59	0	0	0
FBgn0029502	FBgn0029502	COQ7	51	13	23	19	20	22	17	21	21	19	16	15	30	34	28	23	23	22	19	16	19	22	26	32	39	51	67	48	47	48
FBgn0029503	FBgn0029503	CHORD	22	16	15	14	15	13	13	8	8	5	7	7	19	16	13	10	12	14	12	14	15	15	11	7	9	12	10	14	23	24
FBgn0029506	FBgn0029506	Tsp42Ee	52	47	42	75	136	298	288	212	325	205	179	236	156	107	118	111	159	227	219	517	209	173	185	172	101	95	111	126	110	107
FBgn0029508	FBgn0029508	Tsp42Ea	0	0	0	0	1	2	3	0	4	3	4	7	1	0	1	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1
FBgn0029512	FBgn0029512	Aos1	154	166	144	96	70	49	30	16	11	8	6	8	18	28	22	31	38	49	45	49	56	25	12	10	12	16	15	35	77	79
FBgn0029514	FBgn0029514	312	7	7	9	9	9	10	7	5	4	4	5	4	6	5	4	4	5	6	6	6	7	7	5	4	6	7	7	5	6	6
FBgn0029518	FBgn0029518	CG13376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	1	0	0	0	0	0	0
FBgn0029521	FBgn0029521	Or1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
FBgn0029522	FBgn0029522	Data Not Found
FBgn0029524	FBgn0029524	CG3176	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	3	2	2	1	1	1	2	2	1	1	1
FBgn0029529	FBgn0029529	CG13365	34	37	22	24	31	41	30	34	30	31	26	22	30	32	27	21	17	17	18	25	27	31	44	46	37	32	29	40	24	26
FBgn0029531	FBgn0029531	CG13362	0	1	1	8	17	115	184	78	5	2	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FBgn0029532	FBgn0029532	CG13361	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0029535	FBgn0029535	CG14635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	5	0	0	0
FBgn0029539	FBgn0029539	CG11663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	7	7	10	18	20	19	28	47	69	68	0	0	0
FBgn0029552	FBgn0029552	CG14631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	5	10	9	8	8	12	17	17	0	0	0
FBgn0029568	FBgn0029568	CG11381	0	0	0	0	0	0	0	0	1	7	15	15	7	14	11	0	0	0	0	0	0	1	0	0	0	0	0	65	161	157
FBgn0029573	FBgn0029573	CG14770	0	0	0	0	1	1	2	28	70	21	1	1	0	5	2	0	0	1	2	6	1	627	82	12	3	0	1	3	0	0
FBgn0029580	FBgn0029580	CG14778	0	3	6	7	6	6	3	3	2	2	2	2	4	2	3	2	2	2	2	2	4	4	3	76	28	25	28	20	3	4
FBgn0029587	FBgn0029587	CG14797	0	0	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	2	1	4	0	0	1	1	0	0	0
FBgn0029594	FBgn0029594	CG14806	39	28	17	26	30	41	30	23	24	23	27	22	26	25	20	15	15	18	15	16	18	25	25	25	23	22	17	22	28	30
FBgn0029596	FBgn0029596	CG14054	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	4	5	4	3	5	7	6	0	0	0
FBgn0029606	FBgn0029606	CG14052	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	13	2	1	1	1	2	0	0	0
FBgn0029608	FBgn0029608	CG3091	0	0	0	0	0	0	0	0	1	4	7	8	5	5	15	18	18	13	5	12	6	8	10	43	54	53	50	45	20	19
FBgn0029629	FBgn0029629	eIF3ga	256	416	385	364	348	324	215	220	189	197	219	183	259	202	157	157	168	170	171	192	221	150	104	122	108	101	107	208	196	203
FBgn0029639	FBgn0029639	CG14419	1	0	0	1	4	8	25	193	100	150	264	167	194	319	211	34	3	1	0	1	0	1	1	14	4	2	4	8	2	3
FBgn0029642	FBgn0029642	CG3592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	2	0	0	0
FBgn0029643	FBgn0029643	CG14420	0	0	0	0	0	0	0	0	0	0	0	0	16	120	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
FBgn0029644	FBgn0029644	CG14421	1	1	0	0	0	0	0	1	0	1	1	0	124	1621	16	0	0	0	0	2	0	0	0	0	0	0	0	2	2	1
FBgn0029645	FBgn0029645	CG14422	0	0	0	0	0	0	0	0	0	0	0	0	2	14	376	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0029646	FBgn0029646	CG14423	0	0	0	0	0	0	0	0	0	0	1	0	28	437	37	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
FBgn0029647	FBgn0029647	CG17959	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0029648	FBgn0029648	CG3603	5	0	0	0	1	7	8	10	8	6	5	5	18	31	26	29	18	12	10	7	7	15	17	13	31	20	19	16	10	11
FBgn0029649	FBgn0029649	CG4116	0	0	0	0	0	0	0	0	0	0	0	0	5	182	17	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
FBgn0029656	FBgn0029656	CG10793	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	4	3	5	7	8	6	3	6	10	9	0	0	0
FBgn0029657	FBgn0029657	CG12535	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	3	4	4	3	3	5	7	8	0	0	0
FBgn0029658	FBgn0029658	CG14269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	4	8	11	13	15	18	30	38	46	0	0	0
FBgn0029659	FBgn0029659	CG16782	0	0	0	0	0	4	4	3	2	1	1	1	1	0	0	6	11	17	17	24	36	48	46	36	73	94	82	0	0	0
FBgn0029660	FBgn0029660	CG10801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	3	5	5	6	3	6	8	8	0	0	0
FBgn0029661	FBgn0029661	CG16781	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	5	7	6	10	14	17	19	15	25	30	35	0	0	0
FBgn0029663	FBgn0029663	CG10804	0	0	0	0	0	0	1	1	2	2	3	3	3	1	0	0	0	0	0	1	1	2	4	2	2	2	2	1	0	0
FBgn0029664	FBgn0029664	CG10802	30	28	17	16	18	19	16	13	12	9	11	12	12	14	12	8	8	9	9	12	13	21	34	42	26	18	11	28	26	22
FBgn0029665	FBgn0029665	CG14270	46	69	51	29	32	49	37	19	23	19	22	25	24	39	28	10	11	16	16	18	24	33	39	15	25	27	24	15	35	34
FBgn0029666	FBgn0029666	CG10803	18	8	6	6	6	4	5	2	3	2	2	3	3	2	2	2	4	7	8	7	9	7	4	2	3	4	3	6	14	13
FBgn0029667	FBgn0029667	Gas8	1	6	28	71	78	80	40	13	5	3	1	2	1	0	0	0	1	2	2	3	9	6	5	5	7	10	10	0	0	0
FBgn0029669	FBgn0029669	CG13021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	5	8	9	6	5	8	12	11	0	0	0
FBgn0029672	FBgn0029672	CG2875	29	24	30	30	29	20	28	9	9	7	15	18	22	14	10	6	8	10	8	8	7	4	2	3	2	2	2	11	27	25
FBgn0029676	FBgn0029676	HIP-R	11	11	4	5	9	9	17	4	4	2	3	5	3	6	5	5	8	15	19	16	20	15	8	2	5	5	3	3	12	9
FBgn0029679	FBgn0029679	CG2901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	4	4	3	2	4	6	5	0	0	0
FBgn0029681	FBgn0029681	CG15239	1	1	1	5	9	39	108	630	192	16	3	3	4	221	32	0	0	1	1	186	76	113	43	6	1	1	4	0	0	0
FBgn0029685	FBgn0029685	CG2938	51	43	11	9	14	12	12	14	13	8	11	12	6	8	7	8	12	15	17	10	9	6	4	5	5	7	8	18	29	30
FBgn0029686	FBgn0029686	CG2941	8	5	5	4	3	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	1	1	1	1	1	3	7	5
FBgn0029687	FBgn0029687	Vap-33A	56	54	54	59	55	47	50	19	23	20	22	26	20	36	34	28	44	60	61	44	50	43	32	18	23	22	14	26	55	51
FBgn0029688	FBgn0029688	lva	29	11	17	25	24	18	28	25	22	19	16	15	17	24	20	13	19	17	17	14	19	18	14	12	21	23	27	22	31	32
FBgn0029689	FBgn0029689	CG6428	23	2	2	2	3	4	4	4	4	4	6	6	9	5	6	4	4	3	2	2	3	3	3	4	7	10	11	12	15	16
FBgn0029690	FBgn0029690	CG6414	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FBgn0029693	FBgn0029693	CG6379	20	12	30	36	31	35	20	12	10	9	7	7	7	6	5	6	8	11	11	13	14	10	7	5	6	8	7	9	12	13
FBgn0029696	FBgn0029696	CG15571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23	22
FBgn0029700	FBgn0029700	CG15576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	7	6	10	16	21	21	18	28	36	41	0	0	0
FBgn0029701	FBgn0029701	CG12691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	4	6	9	11	9	13	20	28	32	0	0	0
FBgn0029702	FBgn0029702	CG15572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	6	11	18	22	24	22	35	45	52	0	0	0
FBgn0029703	FBgn0029703	CG12692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	10	9	17	25	28	24	19	30	46	45	0	0	0
FBgn0029705	FBgn0029705	CG12693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	6	11	16	21	19	16	27	37	37	0	0	0
FBgn0029706	FBgn0029706	CG3626	24	3	6	10	9	11	10	9	8	7	7	6	11	13	13	10	14	14	14	11	12	11	11	10	12	13	13	16	17	18
FBgn0029708	FBgn0029708	CG3556	0	0	0	0	0	1	3	2	5	7	7	9	8	4	2	2	4	7	9	12	15	12	9	7	7	7	7	3	1	1
FBgn0029709	FBgn0029709	CHOp24	92	101	105	163	198	323	168	211	118	73	52	45	102	149	115	114	101	86	87	56	79	72	52	58	86	93	134	98	85	91
FBgn0029710	FBgn0029710	CG3568	4	6	5	4	6	5	6	5	4	3	3	3	3	8	12	12	16	16	20	22	17	13	8	6	9	11	15	4	4	6
FBgn0029711	FBgn0029711	Usf	20	11	11	12	12	10	10	11	9	7	7	7	6	5	4	4	7	7	9	7	8	7	8	8	9	11	13	9	13	13
FBgn0029712	FBgn0029712	CG15912	5	3	2	2	3	3	2	2	2	1	2	2	2	4	4	2	3	2	2	2	3	4	3	2	4	4	4	2	3	3
FBgn0029713	FBgn0029713	CG11436	27	15	20	17	15	15	11	7	5	4	4	4	4	4	3	3	6	7	6	7	6	4	2	1	2	2	3	6	12	12
FBgn0029714	FBgn0029714	CG3527	51	45	46	44	43	42	31	21	18	11	26	25	37	17	11	7	10	13	12	11	13	11	7	7	7	7	8	19	28	30
FBgn0029715	FBgn0029715	CG11444	88	131	69	65	84	117	74	40	40	29	50	43	57	70	53	34	38	48	46	36	50	48	33	22	34	38	27	36	77	78
FBgn0029716	FBgn0029716	CG3546	0	0	0	0	0	0	0	0	0	0	0	0	9	313	51	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0029717	FBgn0029717	CG12684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	9	7	12	18	25	23	13	25	34	27	0	0	0
FBgn0029718	FBgn0029718	mRpL30	50	32	48	58	58	91	60	44	52	43	47	49	67	64	48	25	24	27	26	31	36	50	49	21	26	21	19	34	51	50
FBgn0029719	FBgn0029719	CG15473	0	1	1	1	1	0	0	2	2	3	1	1	1	1	1	1	1	1	1	1	3	5	10	2	0	0	1	1	0	0
FBgn0029720	FBgn0029720	CG3009	0	0	0	0	0	1	1	1	5	12	5	5	11	3	7	2	1	1	0	10	2	2	5	15	5	6	9	4	1	1
FBgn0029722	FBgn0029722	CG7024	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	7	7	14	22	24	26	34	52	65	73	0	0	0
FBgn0029723	FBgn0029723	Proc-R	12	11	2	2	3	2	2	5	11	13	11	12	5	2	3	3	2	2	1	1	0	1	5	8	6	5	6	9	8	8
FBgn0029726	FBgn0029726	CG15471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	5	9	9	8	8	11	15	15	0	0	0
FBgn0029727	FBgn0029727	CG6978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	0	0	0
FBgn0029729	FBgn0029729	CG12682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	3	4	6	6	7	9	14	15	0	0	0
FBgn0029733	FBgn0029733	CG6927	134	3	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	37	75	80
FBgn0029736	FBgn0029736	CG4041	28	12	15	17	19	18	15	14	9	8	6	6	11	10	10	11	19	25	22	15	18	13	8	8	8	10	11	18	23	25
FBgn0029737	FBgn0029737	CG6903	53	9	16	30	19	19	11	20	14	18	20	19	20	17	14	24	28	27	22	31	35	31	23	42	41	57	64	46	40	43
FBgn0029740	FBgn0029740	CG12680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	6	6	7	6	8	11	12	0	0	0
FBgn0029745	FBgn0029745	Rpn13R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	4	6	10	12	12	10	15	22	23	0	0	0
FBgn0029746	FBgn0029746	CG15465	3	2	1	2	4	6	12	14	14	12	10	9	11	7	5	2	6	5	6	7	10	9	7	5	6	6	7	5	4	4
FBgn0029747	FBgn0029747	CG5062	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	4	5	5	9	15	17	15	13	22	29	32	0	0	0
FBgn0029750	FBgn0029750	CG3323	0	2	4	2	1	0	0	1	1	1	0	0	0	1	1	4	10	14	12	21	36	34	30	24	40	56	56	0	0	0
FBgn0029751	FBgn0029751	CG17764	1	2	3	2	1	0	0	0	0	0	0	0	0	0	0	1	3	4	3	6	8	12	11	14	23	31	31	0	0	0
FBgn0029752	FBgn0029752	TrxT	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	19	35	39	42	73	107	120	115	118	191	238	252	0	0	0
FBgn0029755	FBgn0029755	Sas10	59	90	64	75	73	64	43	42	31	23	54	37	70	30	21	11	13	14	13	16	16	11	6	10	7	7	9	48	46	51
FBgn0029756	FBgn0029756	CG3309	40	36	18	17	18	13	13	15	11	6	11	11	3	4	3	3	5	6	7	6	7	7	4	5	5	5	6	11	19	21
FBgn0029761	FBgn0029761	SK	0	0	0	0	0	0	2	3	4	4	4	6	5	2	1	0	1	1	1	3	3	8	6	2	3	3	3	2	1	1
FBgn0029762	FBgn0029762	NAAT1	0	0	0	0	1	1	1	1	4	7	11	13	14	11	8	19	9	7	5	1	0	0	1	3	19	29	33	12	8	9
FBgn0029765	FBgn0029765	CG16756	0	0	0	0	0	0	0	0	2	7	4	5	10	7	9	2	1	1	1	3	1	1	1	8	35	36	26	16	18	26
FBgn0029768	FBgn0029768	SPR	0	0	0	0	0	2	3	5	4	5	4	4	4	1	0	0	1	1	1	1	1	2	2	3	3	4	5	6	3	3
FBgn0029769	FBgn0029769	frma	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	6	13	11	8	8	8	11
FBgn0029770	FBgn0029770	CG4151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	63	997	523	51	48	0	1	0	0	0	0	0	0
FBgn0029771	FBgn0029771	CG12730	1	8	9	8	8	19	26	23	29	26	8	10	6	7	5	8	10	12	13	15	14	16	17	24	11	11	13	8	3	4
FBgn0029778	FBgn0029778	RhoGAP5A	30	36	9	6	9	11	9	15	9	6	13	8	4	4	4	6	10	11	11	14	24	16	7	5	4	5	7	11	13	15
FBgn0029783	FBgn0029783	Sirt4	6	2	3	4	5	5	5	4	5	7	9	8	7	11	9	7	8	12	15	5	5	8	11	11	16	13	12	9	8	6
FBgn0029785	FBgn0029785	RpL35	824	1532	1540	1535	1620	1590	1618	809	932	1320	1590	1533	1121	1453	1093	986	953	1082	1118	916	989	896	640	369	520	459	427	598	1015	1026
FBgn0029789	FBgn0029789	CG3160	24	6	11	10	9	9	10	9	7	5	3	3	6	6	5	5	6	7	7	7	9	8	5	4	6	7	7	11	15	16
FBgn0029791	FBgn0029791	CG4096	0	2	6	19	18	19	12	16	9	8	9	7	12	9	8	9	11	11	12	18	33	14	2	10	6	6	8	5	1	1
FBgn0029795	FBgn0029795	CG15773	0	0	0	0	0	0	0	1	1	1	2	1	2	3	3	21	16	8	2	1	0	0	0	0	2	2	2	3	2	3
FBgn0029798	FBgn0029798	CG4078	36	18	19	12	11	8	5	5	4	2	3	3	8	6	4	2	3	3	3	4	4	2	1	2	2	2	2	10	15	17
FBgn0029799	FBgn0029799	CG15772	0	2	3	3	2	1	1	0	0	1	1	0	1	1	1	3	4	3	4	8	3	4	14	28	8	7	8	5	2	2
FBgn0029800	FBgn0029800	lin-52	55	24	47	42	30	27	16	8	7	5	6	7	9	8	6	6	8	12	15	13	16	9	6	6	7	8	8	18	36	36
FBgn0029801	FBgn0029801	CG15771	77	5	8	16	22	32	48	58	33	23	26	31	34	23	20	15	24	36	66	33	13	23	26	70	38	36	43	51	65	64
FBgn0029804	FBgn0029804	CG3097	1	7	22	31	35	40	45	101	30	14	11	12	6	59	15	2	2	9	44	53	11	78	5	25	19	26	28	14	7	9
FBgn0029809	FBgn0029809	CG15767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	3	4	5	5	8	10	12	0	0	0
FBgn0029810	FBgn0029810	CG12239	0	0	1	1	1	1	2	9	14	21	26	29	32	13	5	5	5	4	3	2	2	6	11	11	29	46	78	9	5	5
FBgn0029811	FBgn0029811	Cpr5C	0	0	0	0	0	0	0	1	5	19	5	5	8	46	77	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0029812	FBgn0029812	Prosbeta2R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	4	7	12	14	12	12	18	26	28	0	0	0
FBgn0029813	FBgn0029813	CG15766	5	3	1	1	2	2	2	4	7	7	11	8	20	11	7	2	2	3	3	4	2	6	3	3	1	1	1	7	6	7
FBgn0029816	FBgn0029816	CG12729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	5	8	10	10	11	21	25	26	0	0	0
FBgn0029817	FBgn0029817	CG15764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	9	7	14	22	24	21	23	31	45	47	0	0	0
FBgn0029818	FBgn0029818	GAA1	44	13	31	31	26	22	13	12	8	8	5	5	12	14	13	16	17	17	17	17	21	14	10	9	14	20	21	24	34	37
FBgn0029819	FBgn0029819	Usp30	49	16	10	15	16	17	13	13	13	12	9	8	12	11	11	13	18	20	20	22	30	28	24	24	35	47	49	18	28	31
FBgn0029820	FBgn0029820	CG16721	23	27	13	24	25	37	32	64	112	100	50	47	11	6	8	17	42	77	116	80	52	41	55	65	58	57	52	35	21	19
