Search Gene	Found FBGN	Found Gene	embryo 00-02hr	embryo 02-04hr	embryo 04-06hr	embryo 06-08hr	embryo 08-10hr	embryo 10-12hr	embryo 12-14hr	embryo 14-16hr	embryo 16-18hr	embryo 18-20hr	embryo 20-22hr	embryo 22-24hr	larva L1	larva L2	larva L3 12hr old	larva L3 puffstage 1-2	larva L3 puffstage 3-6	larva L3 puffstage 7-9	white prepupae new	white prepupae 12hr	white prepupae 24hr	pupae 2d postWPP	pupae 3d postWPP	pupae 4d postWPP	adult male 01day	adult male 05day	adult male 30day	adult female 01day	adult female 05day	adult female 30day
FBgn0035425	FBgn0035425	CG17746	101	83	28	28	31	27	26	28	24	25	37	32	23	17	16	19	28	44	116	118	73	59	25	38	35	29	29	52	58	60
FBgn0035426	FBgn0035426	CG12078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	5	9	13	14	10	6	12	20	16	0	0	0
FBgn0035427	FBgn0035427	ckd	0	0	0	0	0	0	1	3	16	11	4	6	3	7	21	17	23	20	2	8	5	11	22	2	2	1	0	1	1	1
FBgn0035428	FBgn0035428	CG14960	0	0	0	2	4	39	63	120	20	2	0	0	1	53	6	0	0	0	1	3	2	19	2	1	0	0	0	0	0	0
FBgn0035430	FBgn0035430	CG12009	0	0	1	2	4	16	83	122	37	3	0	1	3	81	11	1	3	5	12	2	15	13	46	1	1	1	1	0	0	0
FBgn0035432	FBgn0035432	ZnT63C	51	48	64	41	37	38	37	69	90	61	35	30	36	23	16	15	26	42	61	43	33	25	17	24	26	27	31	34	35	37
FBgn0035435	FBgn0035435	PIG-C	19	9	10	6	4	4	3	2	1	1	1	1	2	2	2	2	2	4	3	4	3	3	2	2	2	3	3	4	11	11
FBgn0035436	FBgn0035436	CG12016	28	10	15	12	11	11	10	7	8	9	16	15	18	13	14	8	13	28	57	36	19	14	8	10	27	24	26	20	23	21
FBgn0035437	FBgn0035437	Strip	49	38	35	33	30	27	26	26	20	18	16	15	16	11	10	14	25	30	34	40	50	40	27	29	38	50	55	22	28	29
FBgn0035438	FBgn0035438	PHGPx	126	32	6	15	35	53	42	26	24	27	28	36	62	97	124	246	223	265	251	151	149	130	94	125	145	147	180	130	97	119
FBgn0035439	FBgn0035439	CG14961	0	0	0	0	0	0	0	1	1	2	1	3	1	12	30	1	1	0	1	9	1	5	69	529	2	0	1	2	0	0
FBgn0035440	FBgn0035440	CG14969	25	11	12	14	12	12	11	5	6	4	4	4	5	7	7	9	13	18	18	16	18	13	9	6	10	12	10	11	23	22
FBgn0035443	FBgn0035443	CG12010	12	5	10	10	6	5	4	3	3	3	4	5	4	3	2	2	2	3	3	3	3	3	2	2	2	2	2	5	9	9
FBgn0035444	FBgn0035444	CG12012	21	8	7	8	8	10	11	9	9	7	3	4	4	5	5	14	21	29	28	33	19	17	11	9	13	13	14	14	16	18
FBgn0035445	FBgn0035445	CG12014	0	2	2	1	1	1	1	1	2	1	1	1	1	1	0	0	1	2	4	4	4	2	1	1	1	1	1	1	0	0
