Search Gene	Found FBGN	Found Gene	imaginal disc, larvae L3 wandering	central nervous system, larvae L3	central nervous system, pupae P8	head, virgin 1-day female	head, virgin 4-day female	head, virgin 20-day female	head, mated 1-day female	head, mated 4-day female	head, mated 20-day female	head, mated 1-day male	head, mated 4-day male	head, mated 20-day male	salivary gland, larvae L3 wandering	salivary gland, white prepupae	digestive system, larvae L3 wandering	digestive system, 1-day adult	digestive system, 4-day adult	digestive system, 20-day adult	fat body, larvae L3 wandering	fat body, white prepupae	fat body, pupae P8	carcass, larvae L3 wandering	carcass, 1-day adult	carcass, 4-day adult	carcass, 20-day adult	ovary, virgin 4-day female	ovary, mated 4-day female	testis, mated 4-day male	accessory gland, mated 4-day male
FBgn0028858	FBgn0028858	CG10839	21	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	7	17	0	0	0	0	0	0	86	11
FBgn0028862	FBgn0028862	dao	1	7	15	5	6	4	4	4	4	7	9	6	0	0	0	0	0	0	0	0	5	1	1	1	1	1	0	0	0
FBgn0028863	FBgn0028863	CG4587	1	10	42	15	17	7	17	15	8	19	26	15	0	0	0	0	0	0	0	0	6	1	2	2	1	0	0	0	0
FBgn0028864	FBgn0028864	CG18477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0028866	FBgn0028866	CG18420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0028868	FBgn0028868	CG4701	28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	5	0	0	0	0	0	0	96	13
FBgn0028870	FBgn0028870	CG4691	143	0	1	0	0	0	0	0	0	0	0	0	0	5	1	3	3	1	1	22	61	0	1	1	3	0	0	301	72
FBgn0028871	FBgn0028871	Cpr35B	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0
FBgn0028872	FBgn0028872	CG18095	0	1	5	1	3	1	1	2	1	3	3	3	0	0	8	17	13	10	0	1	1	0	1	1	1	0	0	1	1
FBgn0028875	FBgn0028875	nAChRalpha5	1	18	163	18	22	9	22	17	10	30	32	21	0	0	0	0	0	0	0	0	12	2	2	2	1	0	0	0	2
FBgn0028878	FBgn0028878	CG15269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
FBgn0028879	FBgn0028879	CG15270	1	9	23	10	12	6	11	14	5	17	24	18	0	0	0	0	0	0	0	0	6	2	1	2	1	0	0	0	0
FBgn0028880	FBgn0028880	CG15256	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	28	4
FBgn0028886	FBgn0028886	CG15279	1	1	0	4	4	4	3	2	3	4	3	6	0	1	8	14	11	13	0	0	2	10	3	3	3	2	2	2	1
FBgn0028888	FBgn0028888	CG4168	1	4	26	9	7	5	6	5	4	12	10	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
FBgn0028892	FBgn0028892	CG4161	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	4	0	0	0	0	0	0	32	7
FBgn0028893	FBgn0028893	CG31819	22	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	6	9	0	0	0	0	0	0	46	11
FBgn0028894	FBgn0028894	GMF	30	29	28	5	4	7	2	4	5	7	6	9	17	43	94	30	15	20	5	17	20	13	5	3	7	19	11	23	12
FBgn0028895	FBgn0028895	CG17328	7	4	3	2	2	1	1	1	2	3	2	3	0	2	2	1	1	1	1	1	0	2	1	1	2	15	12	3	2
FBgn0028896	FBgn0028896	CG17329	50	2	2	1	0	0	1	0	0	0	0	1	1	3	1	1	2	0	0	18	9	1	1	1	1	0	0	412	33
FBgn0028897	FBgn0028897	CG4935	11	3	2	1	0	0	1	1	0	1	1	2	0	0	1	1	1	1	0	1	4	2	0	0	0	9	5	27	4
FBgn0028900	FBgn0028900	CG18518	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	18	12
FBgn0028902	FBgn0028902	Tektin-A	33	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	9	19	0	0	0	0	0	0	244	27
FBgn0028903	FBgn0028903	CG13243	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	4	11	0	0	0	0	0	0	41	9
FBgn0028913	FBgn0028913	CG3473	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	50	5
FBgn0028916	FBgn0028916	CG33090	5	5	17	7	8	5	4	6	5	11	10	13	0	1	7	2	3	3	2	1	2	2	2	3	3	30	21	4	1
FBgn0028919	FBgn0028919	CG16865	13	19	9	5	3	3	2	5	2	4	6	8	5	3	9	8	6	6	2	5	12	10	3	5	3	25	31	16	9
FBgn0028920	FBgn0028920	CG8997	70	2	0	0	0	0	1	0	1	0	0	0	36	4	2096	897	474	668	3	12	2	7	3	5	5	0	0	59	55
FBgn0028926	FBgn0028926	NC2beta	63	45	29	11	10	8	11	12	9	17	22	27	16	28	19	16	15	15	9	14	53	32	9	9	7	22	23	57	26
FBgn0028931	FBgn0028931	CG16863	5	1	2	1	1	1	0	0	1	1	1	1	1	3	1	0	0	1	0	1	2	1	1	0	0	2	1	3	1
FBgn0028932	FBgn0028932	CG16890	21	13	9	4	4	5	5	6	6	8	8	12	7	17	25	11	11	10	4	6	11	8	3	6	5	16	11	19	12
FBgn0028935	FBgn0028935	CG7653	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	17	4
FBgn0028936	FBgn0028936	NimB5	0	0	0	7	10	20	9	8	13	10	9	18	1	0	2	3	1	0	32	5	3	1	7	7	9	0	0	1	0
FBgn0028938	FBgn0028938	CG16886	1	0	1785	5	5	1	9	4	18	9	7	3	0	6	0	0	2	0	0	0	4258	0	2	1	0	0	0	0	21
FBgn0028939	FBgn0028939	NimC2	1	3	1	2	2	2	1	2	2	2	2	2	14	24	18	1	0	0	131	390	24	11	1	0	0	0	0	0	1
FBgn0028941	FBgn0028941	CG16853	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	32	4
FBgn0028942	FBgn0028942	CG16852	32	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	9	15	0	0	0	0	0	0	78	15
FBgn0028943	FBgn0028943	CG15638	118	0	4	0	1	0	0	0	0	0	0	1	1	7	2	7	5	2	3	40	149	1	2	1	1	0	1	2407	209
FBgn0028944	FBgn0028944	Semp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	54
FBgn0028945	FBgn0028945	CG7631	13	0	0	0	0	0	0	0	0	0	0	0	1	0	16	271	132	109	0	0	0	0	0	1	1	0	0	7	8
FBgn0028946	FBgn0028946	Or35a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0028947	FBgn0028947	CG11865	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0028948	FBgn0028948	CG15253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	14	8	0	0	0	0	0	0	0	0	0	1	1
FBgn0028949	FBgn0028949	CG15254	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	107	80	83	0	0	0	0	0	1	1	0	0	8	6
FBgn0028950	FBgn0028950	CG15255	2	0	0	0	0	0	0	0	0	0	0	0	1	0	46	240	211	220	0	0	0	0	1	1	1	0	0	1	10
FBgn0028952	FBgn0028952	Kebab	16	7	2	0	1	1	0	1	1	0	1	1	0	1	2	1	1	1	1	4	3	4	0	1	2	9	6	13	4
FBgn0028953	FBgn0028953	CG14478	92	134	68	49	51	41	50	42	36	68	67	60	19	92	54	21	35	31	20	71	43	112	36	41	42	190	216	10	24
FBgn0028956	FBgn0028956	mthl3	14	6	1	1	1	2	0	1	1	0	1	1	1	1	9	2	2	2	3	5	2	12	1	1	1	1	1	0	2
