gene	locus	altname	fpkm (geomean)
na	b2236		5.62
na	b4543		4.923
rhmD	b2247		0.675
glpA	b2241		0.1701
glpB	b2242		0.4144
glpC	b2243		0.7732
yfaU	b2245		1.96
yfaX	b2248		-1.88
yfaV	b2246		0.9036
na	b2250		2.76
nudI	b2251		3.836
ais	b2252		1.598
yfaY	b2249		4.1
arnB	b2253		3.066
menH	b2263		1.078
menD	b2264		3.494
menF	b2265		4.009
menE	b2260		3.254
menC	b2261		4.305
menB	b2262		4.963
arnC	b2254		2.655
arnA	b2255		2.901
arnD	b2256		2.343
arnT	b2257		1.594
na	b4544		2.276
na	b2258		0.9327
na	b2259		4.616
elaA	b2267		4.565
rbn	b2268		3.684
elaD	b2269		1.059
na	b2266		7.381
na	b2272		1.825
na	b2271		0.3064
yfbK	b2270		1.221
yfbN	b2273		0.8395
yfbO	b2274		2.168
yfbP	b2275		2.09
na	b2215		8.909
nuoN	b2276		5.296
nuoM	b2277		5.197
nuoI	b2281		4.668
nuoL	b2278		4.759
na	b2279		4.221
nuoJ	b2280		4.627
nuoF	b2284		5.367
nuoE	b2285		5.959
nuoH	b2282		5.026
nuoG	b2283		5.618
nuoB	b2287		6.201
nuoA	b2288		5.938
nuoC	b2286		5.635
lrhA	b2289		4.785
yfbR	b2291		3.954
alaA	b2290		4.553
yfbS	b2292		3.262
hxpA	b2293		6.115
yfbU	b2294		6.372
yfbV	b2295		4.795
ackA	b2296		6.343
yfcC	b2298		1.971
yfcD	b2299		5.499
yfcE	b2300		5.184
yfcF	b2301		4.363
pta	b2297		5.601
yfcG	b2302		4.27
na	b2303		5.894
rpnB	b2305		2.328
yfcH	b2304		5.223
hisP	b2306		4.163
hisM	b2307		3.929
hisQ	b2308		4.44
ubiX	b2311		3.475
argT	b2310		5.295
hisJ	b2309		6.297
cvpA	b2313		5.214
na	b2314		4.571
folC	b2315		4.073
purF	b2312		5.33
dedA	b2317		3.888
truA	b2318		3.705
usg	b2319		4.183
accD	b2316		6.324
pdxB	b2320		4.986
na	b2321		3.39
yfcJ	b2322		2.054
na	b2325		5.057
mnmC	b2324		3.317
fabB	b2323		6.059
epmC	b2326		4.48
yfcA	b2327		3.778
mepA	b2328		4.293
aroC	b2329		5.295
smrB	b2331		4.671
prmB	b2330		5.209
yfcO	b2332		4.425
na	b2337		0.5246
na	b2338		2.45
yfcV	b2339		-5.02
sixA	b2340		5.797
yfcP	b2333		1.431
yfcQ	b2334		0.6626
na	b2335		1.327
yfcS	b2336		-0.04878
na	b2343		4.763
fadJ	b2341		2.805
fadI	b2342		2.257
yfdF	b2345		1.515
na	b2344		4.156
na	b2348		-22.7
mlaA	b2346		5.158
yfdC	b2347		3.537
intS	b2349		3.341
yfdL	b2355		-2.501
yfdQ	b2360		2.185
na	b4501		-5.467
na	b2359		1.912
na	b2356		-17.05
yfdN	b2357		-9.989
yfdO	b2358		-19.45
na	b4643		-22.7
na	b2353		2.729
na	b2354		2.782
yfdR	b2361		-10.18
yfdS	b2362		-8.686
na	b2363		0.3099
na	b4545		-21.49
dsdC	b2364		3.139
dsdX	b2365		0.8429
na	b2350		4.935
na	b2351		5.155
yfdI	b2352		4.285
dsdA	b2366		3.003
evgA	b2369		5.539
emrY	b2367		0.5471
na	b2368		1.4
yfdE	b2371		1.502
na	b2376		-5.069
yfdV	b2372		0.9307
frc	b2374		1.744
na	b2375		1.772
evgS	b2370		3.449
na	b2377		4.158
na	b4680		-22.7
oxc	b2373		1.3
lpxP	b2378		1.792
na	G0-8906		1.207
ypdA	b2380		2.971
alaC	b2379		4.233
ypdB	b2381		4.507
ypdC	b2382		2.879
fryA	b2383		1.045
fryB	b2387		-16.16
ypdE	b2384		0.2587
ypdF	b2385		0.1233
na	b2386		-0.2161
glk	b2388		4.737
na	b2390		2.419
yfeO	b2389		2.596
na	b2392		3.81
insL-3	b2394		3.781
na	b2396		-22.7
pdeA	b2395		3.042
nupC	b2393		4.972
na	b2397		-22.7
na	b2398		4.234
yfeD	b2399		4.413
na	b2401		-22.7
na	b2402		-22.7
na	b2404		-22.7
na	b2403		-22.7
xapR	b2405		2.832
xapA	b2407		0.2432
na	b2408		2.237
xapB	b2406		1.957
yfeR	b2409		2.63
gltX	b2400		5.848
yfeH	b2410		3.887
na	b4546		2.62
ligA	b2411		4.115
cysZ	b2413		4.219
na	b2412		5.659
na	b2415		7.74
cysK	b2414		8.09
yfeK	b2419		2.723
pdxK	b2418		4.9
yfeS	b2420		3.479
ptsI	b2416		7.469
cysM	b2421		5.021
na	b2417		8.509
murR	b2427		2.055
murQ	b2428		2.814
ucpA	b2426		4.25
yfeW	b2430		2.104
murP	b2429		1.757
yfeY	b2432		4.403
yfeX	b2431		5.553
yfeZ	b2433		3.155
ypeA	b2434		4.802
eutL	b2439		3.046
na	b2435		4.407
hemF	b2436		3.621
eutR	b2437		2.566
eutK	b2438		3.123
eutC	b2440		3.453
eutB	b2441		3.421
intZ	b2442		3.382
yffL	b2443		3.557
na	b2444		-8.492
yffN	b2445		0.9207
na	b2448		2.165
yffO	b2446		2.108
yffP	b2447		2.288
yffS	b2450		4.375
na	b2455		-0.3508
na	b2456		-20.04
na	b2457		-3.558
na	b2422		5.569
cysW	b2423		4.786
cysU	b2424		4.6
na	b2425		5.927
na	b2449		5.043
eutA	b2451		0.67
eutH	b2452		1.051
eutG	b2453		0.07165
eutJ	b2454		-2.579
eutS	b2462		-15.72
eutD	b2458		0.2491
eutT	b2459		-0.6177
eutQ	b2460		-0.5948
na	b2461		-0.3459
maeB	b2463		4.347
talA	b2464		5.543
ypfG	b2466		1.93
nudK	b2467		4.473
aegA	b2468		2.311
na	b4606		-22.7
narQ	b2469		2.905
acrD	b2470		2.037
yffB	b2471		5.131
dapE	b2472		4.555
na	b4547		5.854
tktB	b2465		5.564
na	b2473		4.206
tmcA	b2474		3.282
ypfJ	b2475		4.848
purC	b2476		6.087
bamC	b2477		6.069
dapA	b2478		6.711
hyfC	b2483		-4.001
hyfD	b2484		-1.186
hyfE	b2485		-5.66
hyfA	b2481		-12.71
hyfB	b2482		0.3727
hyfR	b2491		0.9447
focB	b2492		1.852
yfgO	b2493		3.737
hyfF	b2486		0.5895
hyfG	b2487		1.786
gcvR	b2479		6.043
bcp	b2480		6.956
hyfH	b2488		1.055
hyfI	b2489		1.108
hyfJ	b2490		1.484
na	b2494		4.525
na	b2495		6.164
hda	b2496		4.735
uraA	b2497		4.856
upp	b2498		6.425
purM	b2499		5.443
purN	b2500		5.247
pdeF	b2503		1.53
ppk	b2501		4.879
yfgH	b2505		1.672
na	b2504		5.879
ppx	b2502		4.849
yfgI	b2506		2.265
guaA	b2507		5.793
xseA	b2509		4.522
na	b2510		-0.863
guaB	b2508		5.442
der	b2511		4.982
na	b2513		5.34
bamB	b2512		5.59
hisS	b2514		5.53
na	G0-9385		-22.7
ispG	b2515		5.61
rodZ	b2516		5.27
rlmN	b2517		4.577
pbpC	b2519		2.112
ndk	b2518		5.32
na	G0-8907		-22.7
na	G0-8908		-14.86
sseA	b2521		5.321
yfhM	b2520		4.228
na	b4440		5.807
sseB	b2522		4.777
na	b2524		5.856
pepB	b2523		4.578
fdx	b2525		5.322
na	b2527		4.248
hscA	b2526		4.606
iscA	b2528		6.099
iscU	b2529		6.408
iscR	b2531		5.361
trmJ	b2532		4.938
yfhR	b2534		-0.4571
suhB	b2533		5.016
iscS	b2530		5.839
hcaR	b2537		3.422
hcaD	b2542		1.98
csiE	b2535		3.233
hcaT	b2536		2.153
yphD	b2546		0.7405
na	b2543		5.552
yphB	b2544		2.266
yphE	b2547		0.6136
yphG	b2549		0.5961
yphC	b2545		2.383
yphF	b2548		1.145
hcaE	b2538		3.114
hcaF	b2539		2.218
hcaC	b2540		2.025
hcaB	b2541		2.014
yphH	b2550		2.842
hmp	b2552		3.355
na	b2553		6.118
glrK	b2556		3.507
na	b4441		8.961
glrR	b2554		3.285
qseG	b2555		3.799
pgpC	b2560		4.349
yfhH	b2561		3.268
na	b2562		4.495
na	b2558		2.599
tadA	b2559		4.021
na	b4608		-22.7
na	b4607		5.228
na	b4687		-22.7
recO	b2565		3.714
acpS	b2563		4.951
pdxJ	b2564		5.273
purL	b2557		5.04
era	b2566		5.408
rnc	b2567		5.65
lepB	b2568		5.296
glyA	b2551		7.213
lepA	b2569		5.288
rpoE	b2573		5.839
yfiE	b2577		2.969
eamB	b2578		2.23
srmB	b2576		4.633
rseC	b2570		4.26
rseB	b2571		5.265
rseA	b2572		6.383
nadB	b2574		4.593
yfiC	b2575		3.31
ung	b2580		4.812
na	b2582		4.283
yfiP	b2583		2.684
yfiF	b2581		5.122
grcA	b2579		7.926
patZ	b2584		3.679
pssA	b2585		5.599
na	b2588		-19.5
na	b2590		-22.7
yfiM	b2586		-2.794
kgtP	b2587		6.25
na	b2591		4.525
na	b2589		4.795
pgeF	b2593		3.931
rluD	b2594		4.842
bamD	b2595		5.849
clpB	b2592		5.636
na	b4609		11.22
na	b2598		-22.7
na	b2597		8.444
pheA	b2599		5.382
tyrA	b2600		5.168
yfiL	b2602		3.44
yfiB	b2605		4.081
yfiR	b2603		3.556
dgcN	b2604		2.578
aroF	b2601		5.532
na	b2606		7.633
trmD	b2607		7.545
na	b2609		7.351
ypjD	b2611		4.344
na	b4461		3.809
ffh	b2610		5.242
rimM	b2608		7.814
nadK	b2615		4.467
recN	b2616		3.144
na	b2614		6.492
bamE	b2617		6.298
na	b2618		4.598
ratA	b2619		5.735
smpB	b2620		5.391
yfjH	b2623		2.96
yfjJ	b2626		1.334
na	b2624		-10.52
intA	b2622		4.786
yfjI	b2625		0.6818
na	b2629		-1.541
yfjT	b2637		1.54
yfjP	b2632		2.027
yfjR	b2634		0.2074
yfjQ	b2633		0.06131
na	b2635		-14.81
yfjS	b2636		0.3875
yfjU	b2638		2.544
abpB	b2627		3.971
abpA	b2628		4.322
yfjW	b2642		3.414
rnlA	b2630		5.225
rnlB	b2631		4.772
na	b2639		3.225
na	b4644		-13.8
na	b2640		-20.56
na	b2641		-18.73
yfjX	b2643		-19.77
yfjZ	b2645		-10.69
na	b2644		-16.19
na	b4548		-19.83
ypjF	b2646		1.196
na	b4645		-22.7
na	b2648		-22
ypjB	b2649		-1.482
ypjC	b2650		-8.344
na	b2652		-22.7
ypjA	b2647		2.531
na	b2654		-14.48
na	b4462		-5.147
na	b2658		-11.59
na	b2657		0.9136
csiD	b2659		3.225
lhgO	b2660		3.026
gabD	b2661		3.925
gabP	b2663		2.703
gabT	b2662		3.982
csiR	b2664		3.644
na	b2666		5.456
na	b2667		3.652
ygaP	b2668		3.558
na	b2665		7.036
alaE	b2670		2.394
ygaC	b2671		3.686
na	b2669		7.15
na	b2672		6.392
nrdF	b2676		4.041
proV	b2677		3.775
proW	b2678		3.072
na	b2680		-10.73
na	b2681		-0.8415
proX	b2679		3.809
na	b2673		4.508
nrdI	b2674		4.229
nrdE	b2675		4.05
ygaZ	b2682		4.763
na	b2683		4.094
na	b2685		3.811
emrB	b2686		2.744
mprA	b2684		5.852
na	b4442		-22.7
luxS	b2687		6.684
na	b2691		-22.7
na	b2692		-22.7
yqaA	b2689		4.506
yqaB	b2690		4.691
na	b2693		-22.7
gshA	b2688		5.332
na	b2694		-22.7
na	b2695		-22.7
na	b2696		8.167
recX	b2698		1.411
srlB	b2704		1.314
mltB	b2701		3.778
na	b2706		-1.21
pncC	b2700		4.102
srlA	b2702		0.9133
srlE	b2703		1.473
srlD	b2705		2.952
na	G0-8911		-22.7
hypF	b2712		2.531
hydN	b2713		1.124
recA	b2699		6.015
norV	b2710		2.032
norW	b2711		1.443
ascF	b2715		2.083
ascB	b2716		2.695
srlR	b2707		4.088
gutQ	b2708		3.816
norR	b2709		2.854
ascG	b2714		2.799
hycA	b2725		-2.114
hycD	b2722		-0.6314
alaS	b2697		5.96
hycE	b2721		0.7531
na	b2726		-1.365
hycC	b2723		-0.1568
na	b2724		-2.018
hycI	b2717		3.912
hycH	b2718		2.74
hycG	b2719		1.742
hycF	b2720		0.2725
hypE	b2730		3.528
na	b2732		2.997
fhlA	b2731		2.996
hypB	b2727		3.742
na	b2728		0.8262
hypD	b2729		3.7
na	b2734		1.349
ygbL	b2738		1.222
ygbI	b2735		3.552
ygbM	b2739		1.692
ygbJ	b2736		0.5975
ygbK	b2737		1.369
mutS	b2733		3.508
ygbN	b2740		1.412
nlpD	b2742		5.553
na	b2741		7.167
na	b2748		4.854
na	b2749		3.713
pcm	b2743		4.836
umpG	b2744		4.966
truD	b2745		4.791
ispF	b2746		4.581
ispD	b2747		4.114
iap	b2753		3.541
na	b2754		3.406
cysC	b2750		4.319
cysN	b2751		5.845
cas1	b2755		2.625
casE	b2756		3.196
casD	b2757		3.13
casC	b2758		2.341
cas3	b2761		1.708
casB	b2759		2.248
casA	b2760		1.014
cysD	b2752		6.084
cysH	b2762		5.812
queD	b2765		4.106
ygcP	b2768		1.777
ygcU	b4463		1.372
ygcN	b2766		1.673
na	b2767		-14.33
yqcE	b2775		-1.509
ygcQ	b2769		1.05
ygcR	b2770		0.1908
ygcS	b2771		-0.05518
ygcE	b2776		1.559
na	b4682		-22.7
ygcW	b2774		-2.737
queE	b2777		3.306
ygcG	b2778		0.05508
cysI	b2763		5.737
cysJ	b2764		5.595
mazG	b2781		4.116
mazF	b2782		4.759
na	b2783		5.088
rlmD	b2785		3.175
barA	b2786		3.499
gudD	b2787		2.466
relA	b2784		4.797
gudP	b2789		0.2054
gudX	b2788		1.35
pyrG	b2780		6.304
yqcA	b2790		5.278
na	b2791		3.553
na	b2792		3.653
eno	b2779		8.278
na	b2621		12.2
syd	b2793		4.531
queF	b2794		4.775
sdaC	b2796		3.467
sdaB	b2797		2.812
fucO	b2799		2.935
fucA	b2800		1.142
ygdG	b2798		3.57
ppnN	b2795		5.063
fucI	b2802		1.551
fucP	b2801		-0.8745
fucK	b2803		2.287
fucU	b2804		4.831
fucR	b2805		4.164
na	b4443		6.398
na	b2809		5.75
gcvA	b2808		4.244
rlmM	b2806		4.735
na	b2807		3.72
tcdA	b2812		4.128
na	b2814		-22.7
na	b2816		-22.7
csdA	b2810		3.734
csdE	b2811		4.041
na	b2815		-22.7
mltA	b2813		4.433
na	b2817		3.929
argA	b2818		5.738
recC	b2822		3.637
recD	b2819		3.383
recB	b2820		3.601
ptrA	b2821		3.424
na	b2823		2.966
ygdB	b2824		2.123
ppdB	b2825		1.736
ppdA	b2826		1.214
thyA	b2827		5.088
na	b2828		4.63
na	b4610		-22.7
ptsP	b2829		5.002
mutH	b2831		3.653
rppH	b2830		6.289
na	b2832		3.794
na	b2833		6.823
na	b4444		-22.7
na	b4445		-22.7
tas	b2834		5.424
galR	b2837		3.926
lplT	b2835		2.913
aas	b2836		3.734
lysA	b2838		4.599
araE	b2841		2.761
kduD	b2842		2.862
lysR	b2839		2.735
ygeA	b2840		4.024
kduI	b2843		1.585
yqeF	b2844		3.161
na	b4683		-22.7
na	b2850		-3.356
yqeG	b2845		1.183
na	b2849		-8.401
yqeH	b2846		1.957
yqeI	b2847		2.56
yqeJ	b2848		1.525
na	b2853		-6.502
na	b2854		-6.217
na	b4408		10.63
ygeG	b2851		-2.245
ygeK	b2855		-0.02061
ygeH	b2852		-0.2174
na	b2856		-22.09
na	b2857		-2.919
na	b2864		-22.7
ygeQ	b2863		2.635
na	b2862		3.178
xdhA	b2866		1.847
ygeR	b2865		4.724
ygeV	b2869		3.364
ygeW	b2870		-0.8997
ygeY	b2872		1.659
ygeX	b2871		0.1902
xdhB	b2867		1.609
xdhC	b2868		2.289
hyuA	b2873		0.6583
na	b2858		-8.031
ygeO	b2859		1.912
insD-4	b2860		-10.93
na	G0-10544		4.197
na	b2861		4.738
yqeA	b2874		2.862
yqeB	b2875		2.493
na	b2876		1.565
ssnA	b2879		-0.02707
ygfK	b2878		0.4786
mocA	b2877		3.323
xanQ	b2882		1.145
ygfM	b2880		0.9185
xdhD	b2881		1.859
guaD	b2883		2.727
ghxQ	b4464		2.229
na	b4684		-22.7
uacT	b2888		-2.259
idi	b2889		3.895
na	b2886		1.681
ygfT	b2887		1.084
recJ	b2892		4.256
dsbC	b2893		4.979
prfB	b2891		6.154
lysS	b2890		6.22
na	b2894		4.428
fldB	b2895		5.249
ygfX	b2896		4.806
na	b2897		6.062
yqfA	b2899		4.311
yqfB	b2900		5.77
ygfZ	b2898		5.872
ygfF	b2902		2.198
bglA	b2901		4.985
gcvP	b2903		3.479
gcvH	b2904		5.091
gcvT	b2905		4.114
ubiI	b2906		4.202
ygfB	b2909		5.513
ubiH	b2907		4.312
pepP	b2908		5.465
na	b2910		6.398
fau	b2912		3.729
na	b4446		7.994
na	b4665		-22.7
na	b2911		12.74
na	b2915		-2.341
argP	b2916		4.635
scpA	b2917		0.6341
argK	b2918		0.7737
scpB	b2919		1.574
scpC	b2920		1.202
ygfI	b2921		2.367
rpiA	b2914		6.576
na	b2922		5.766
argO	b2923		3.72
serA	b2913		7.176
na	b2924		6.862
fbaA	b2925		7.652
cmtA	b2933		0.3192
yggF	b2930		0.3978
yggP	b4465		0.907
yggC	b2928		3.809
na	b2929		4.406
cmtB	b2934		-2.185
epd	b2927		5.967
pgk	b2926		7.467
loiP	b2936		4.289
speB	b2937		4.315
na	b2939		-14.83
na	b2940		-8.473
na	b2941		-21.15
tktA	b2935		6.103
speA	b2938		5.633
endA	b2945		2.013
na	b2944		3.456
galP	b2943		3.904
rsmE	b2946		4.221
gshB	b2947		4.98
yggR	b2950		-0.9337
yggS	b2951		4.425
yqgE	b2948		5.503
na	b2949		4.274
yggT	b2952		4.783
na	b2953		5.113
yggM	b2956		1.366
yggN	b2958		3.222
ansB	b2957		3.652
metK	b2942		6.436
rdgB	b2954		4.349
yggW	b2955		4.056
mutY	b2961		3.911
yggL	b2959		6.133
trmI	b2960		4.918
na	b2962		5.361
mltC	b2963		4.058
nupG	b2964		3.203
na	b2967		-22.7
na	b2968		1.732
yqgA	b2966		2.902
yghE	b2969		-0.5165
speC	b2965		3.895
yghF	b2970		1.717
pppA	b2972		3.643
yghG	b2971		3.449
glcA	b2975		2.269
na	G0-8912		3.426
yghJ	b4466		3.419
glcG	b2977		3.955
glcF	b4467		2.745
yghQ	b2983		0.3777
glcB	b2976		3.767
glcC	b2980		3.179
yghR	b2984		-0.3325
yghT	b2986		-1.795
yghS	b2985		0.9807
glcE	b4468		1.658
glcD	b2979		1.629
yghO	b2981		0.7295
insH-9	b2982		-22.7
pitB	b2987		0.5804
na	b2990		4.033
na	b2989		5.325
gss	b2988		5.024
hybO	b2997		3.58
na	b2998		0.6736
gpr	b3001		3.726
na	b2999		2.741
na	b3000		3.103
na	b3002		5.758
yghA	b3003		4.146
na	b2991		1.9
hybE	b2992		3.562
na	b2993		3.975
hybC	b2994		3.543
hybB	b2995		2.248
hybA	b2996		3.196
na	b3005		6.252
exbB	b3006		5.793
yghB	b3009		4.185
metC	b3008		5.03
yqhC	b3010		3.672
yqhD	b3011		4.772
na	b3014		-0.1436
yqhG	b3013		1.91
dkgA	b3012		5.246
ygiQ	b4469		3.817
ftsP	b3017		4.532
plsC	b3018		4.423
na	b3020		2.803
mqsA	b3021		5.247
na	b3022		5.834
parC	b3019		4.408
ygiV	b3023		3.379
na	b3027		-6.253
ygiW	b3024		5.736
qseB	b3025		3.015
na	b3026		2.831
na	b3028		4.526
ygiN	b3029		6.749
parE	b3030		4.494
yqiB	b3033		4.571
yqiA	b3031		4.506
cpdA	b3032		4.797
na	b3034		5.106
na	b3039		3.04
ygiC	b3038		5.135
zupT	b3040		4.626
na	G0-9387		8.137
ribB	b3041		5.552
ygiL	b3043		1.931
na	b3042		6.411
yqiH	b3047		1.015
na	b3049		7.302
na	b3035		6.304
na	b3036		2.168
ygiB	b3037		5.357
yqiI	b3048		0.8777
na	b3044		-22.7
na	G0-10545		-22.7
insD-5	b3045		-22.7
yqiG	b3046		1.556
yqiJ	b3050		0.8678
yqiK	b3051		0.8808
na	b4447		10.43
na	b4664		-22.7
rfaE	b3052		3.649
na	b4611		9.006
na	b4666		-22.7
glnE	b3053		3.87
ygiF	b3054		3.367
na	b3055		4.544
cca	b3056		4.629
folB	b3058		3.228
bacA	b3057		4.06
plsY	b3059		4.013
ttdT	b3063		-0.7508
ttdR	b3060		1.816
tsaD	b3064		4.365
ttdA	b3061		0.08645
ttdB	b3062		-2.581
na	b3065		7.897
dnaG	b3066		4.854
na	b3069		-22.7
mug	b3068		5.115
nfeR	b3071		4.106
aer	b3072		2.228
nfeF	b3070		4.023
rpoD	b3067		5.783
ygjH	b3074		-8.647
ygjJ	b3079		-1.496
ebgR	b3075		3.484
ygjI	b3078		-1.009
ygjK	b3080		0.4956
ebgA	b3076		0.6484
ebgC	b3077		-5.362
fadH	b3081		1.661
rlmG	b3084		2.968
ygjP	b3085		2.999
higA	b3082		3.294
higB	b3083		3.034
na	b3088		1.837
na	b4448		5.791
patA	b3073		5.306
ygjQ	b3086		-0.2188
ygjR	b3087		4.48
ygjV	b3090		2.141
uxaA	b3091		2.721
uxaC	b3092		3.256
exuT	b3093		2.49
sstT	b3089		5.698
na	b3096		4.179
yqjA	b3095		4.706
exuR	b3094		5.313
na	b3097		5.932
na	b3098		5.67
na	b3101		2.264
na	b3099		6.409
na	b3100		5.838
yqjG	b3102		4.428
yhaI	b3104		0.2656
yhaH	b3103		5.584
yhaK	b3106		2.21
yhaJ	b3105		4.007
cyuA	b4470		2.316
na	b3107		-2.009
tdcG	b4471		1.983
tdcF	b3113		2.265
tdcE	b3114		1.35
cyuP	b3110		1.639
tdcD	b3115		1.221
tdcB	b3117		-0.2067
yhaB	b3120		-7.145
tdcA	b3118		1.233
tdcC	b3116		2.174
na	b3119		-22.7
yhaC	b3121		-1.076
garP	b3127		-0.8338
garD	b3128		2.46
garL	b3126		0.9953
garK	b3124		2.482
garR	b3125		2.85
kbaZ	b3132		0.436
agaV	b3133		1.748
agaS	b3136		-0.3765
agaA	b3135		1.876
prlF	b3129		4.88
yhaV	b3130		5.056
agaR	b3131		4.857
na	b3134		0.7817
kbaY	b3137		-0.6587
agaI	b3141		0.9734
agaB	b3138		-0.3134
yraH	b3142		2.009
yraI	b3143		-0.4986
agaC	b3139		-1.261
agaD	b3140		-0.9622
yraJ	b3144		1.618
yraK	b3145		2.189
rsmI	b3146		3.787
diaA	b3149		4.817
na	b3150		4.745
yraR	b3152		2.03
yraQ	b3151		2.913
lpoA	b3147		4.736
yraN	b3148		4.819
yhbO	b3153		2.485
yhbP	b3154		3.312
yhbU	b3158		2.806
yhbV	b3159		2.638
yhbW	b3160		3.89
mtr	b3161		3.589
na	b3155		3.848
yhbS	b3156		5.424
yhbT	b3157		5.826
deaD	b3162		4.84
na	b4685		-22.7
na	b3123		11.23
nlpI	b3163		6.763
na	b4449		-14.54
na	b3165		7.496
truB	b3166		4.79
na	b3167		5.303
pnp	b3164		6.491
na	b3171		-22.7
rimP	b3170		5.709
nusA	b3169		5.697
na	b3174		-22.7
yhbX	b3173		1.567
infB	b3168		5.938
na	b3175		8.03
glmM	b3176		5.533
folP	b3177		4.076
argG	b3172		6.522
na	b3180		6.048
rlmE	b3179		6.182
greA	b3181		5.297
dacB	b3182		3.807
obgE	b3183		4.465
yhbE	b3184		3.831
ftsH	b3178		6.263
na	b3185		8.265
na	b3186		7.563
na	b3188		3.141
ispB	b3187		5.667
na	b3190		6.266
murA	b3189		5.307
mlaD	b3193		4.846
na	b3191		4.883
na	b3192		5.609
mlaE	b3194		4.621
mlaF	b3195		4.872
yrbG	b3196		3.972
kdsD	b3197		4.706
lptB	b3201		5.189
kdsC	b3198		5.32
na	b3199		5.425
na	b3200		5.66
rpoN	b3202		5.491
na	b3203		7.343
ptsN	b3204		5.649
rapZ	b3205		5.398
na	b3206		4.744
na	b4450		-22.7
yhcC	b3211		2.246
arcB	b3210		4.241
yrbL	b3207		6.337
na	b3208		3.821
elbB	b3209		4.741
na	b3215		1.318
gltF	b3214		3.654
yhcD	b3216		2.192
yhcE	b3217		2.309
yhcG	b3220		1.478
nanT	b3224		1.26
nanA	b3225		2.696
yhcH	b3221		3.958
nanK	b3222		2.742
na	b3223		2.126
insH-10	b3218		4.976
na	b4549		-12.18
yhcF	b3219		3.877
dcuD	b3227		0.4566
na	b3226		4.737
na	b3228		5.858
sspA	b3229		6.076
gltD	b3213		7.014
na	b3230		8.143
zapE	b3232		3.856
na	b3233		6.435
na	b3231		7.821
na	b3234		4.095
na	b3235		4.397
gltB	b3212		6.925
na	b3238		3.622
aaeB	b3240		1.565
na	b3239		4.781
na	b3241		1.941
na	b3242		-13.93
aaeR	b3243		4.111
argR	b3237		6.289
tldD	b3244		4.847
yhdP	b4472		3.402
rng	b3247		4.765
yhdE	b3248		4.858
na	b3249		4.016
mreC	b3250		4.138
csrD	b3252		3.919
mdh	b3236		7.554
na	b4646		2.571
mreB	b3251		6.043
yhdH	b3253		4.442
accB	b3255		6.472
na	b3257		2.947
panF	b3258		2.633
prmA	b3259		4.509
na	b3263		3.083
envR	b3264		-3.273
accC	b3256		6.062
dusB	b3260		6.076
yhdJ	b3262		1.96
na	b3267		2.117
na	b3261		7.245
yhdX	b3269		0.8332
acrE	b3265		-1.97
acrF	b3266		1.817
yhdZ	b3271		2.662
na	b3272		-20.58
na	b3268		3.091
yhdY	b3270		0.6663
na	b3274		-21.97
na	b3273		-22.7
na	b3277		-22.7
na	b3276		-22.7
na	b3275		4.694
na	b3278		4.615
tsaC	b3282		4.078
yrdD	b3283		5.565
yrdA	b3279		5.695
na	b3280		4.662
aroE	b3281		3.531
smg	b3284		6.093
smf	b4473		2.803
def	b3287		6.25
fmt	b3288		5.211
rsmB	b3289		4.238
trkA	b3290		4.365
zntR	b3292		4.109
yhdN	b3293		4.346
na	b3291		6.225
na	b4550		4.381
rplQ	b3294		8.092
rpsD	b3296		8.101
rpoA	b3295		8.319
rpsK	b3297		8.277
rpsM	b3298		7.656
na	b3299		1.55
na	b3302		8.202
na	b3301		8.367
secY	b3300		7.881
na	b3303		7.983
na	b3304		7.439
rplF	b3305		7.923
na	b3306		7.645
rpsN	b3307		8.425
rplE	b3308		8.084
na	b3309		8.794
rplN	b3310		7.829
na	b3311		7.974
na	b3312		8.15
na	b3313		7.983
na	b3315		7.382
na	b3316		7.999
na	b3314		7.874
rplB	b3317		7.612
na	b3318		8.069
na	b3319		7.626
gspB	b3322		3.203
na	b3328		0.4902
gspA	b3323		1.127
na	b3321		8.176
na	b3324		2.486
gspD	b3325		2.059
gspE	b3326		1.417
gspF	b3327		1.041
gspH	b3329		-2.023
na	b3330		-0.01184
na	b3331		-1.783
gspK	b3332		0.2172
na	b3320		8.132
gspL	b3333		1.153
gspM	b3334		1.567
gspO	b3335		1.326
na	b3336		6.43
na	b3337		6.426
chiA	b3338		2.725
tufA	b3339		9.332
na	b3341		7.748
na	b3343		4.105
rpsL	b3342		7.508
tusC	b3344		4.169
na	b3345		5.092
yheO	b3346		2.055
na	b3348		5.476
na	b3347		5.977
na	b4551		4.158
kefB	b3350		2.556
kefG	b3351		2.539
slyD	b3349		7.163
na	b3355		4.262
yhfA	b3356		5.474
yheS	b3352		4.21
yheT	b3353		3.59
na	b3354		3.87
yhfK	b3358		3.111
pabA	b3360		3.329
crp	b3357		7.154
fic	b3361		4.604
na	b3362		-3.988
na	b3363		5.189
tsgA	b3364		3.432
argD	b3359		5.377
nirC	b3367		3.545
na	b3369		-8.432
frlA	b3370		-4.352
cysG	b3368		4.402
frlB	b3371		1.581
yhfS	b3376		1.479
yhfT	b3377		1.29
yhfU	b3378		-0.08254
frlR	b3375		4.183
frlC	b4474		1.589
frlD	b3374		1.907
nirB	b3365		4.519
nirD	b3366		2.273
yhfY	b3382		1.768
yhfZ	b3383		2.608
