gene	locus	altname	fpkm (geomean)
etp	b0982		2.414
gfcE	b0983		1.892
na	b0987		0.3169
gfcD	b0984		1.269
na	b0985		1.342
gfcB	b0986		1.177
na	b0989		-11.95
na	b4516		-20.73
na	G0-10536		-19.28
insB-4	b0988		-21.77
na	b0990		-5.993
na	b0991		-21.64
na	b4517		6.085
yccM	b0992		1.697
torS	b0993		1.545
torC	b0996		-0.599
torA	b0997		1.246
torD	b0998		1.77
torT	b0994		1.999
torR	b0995		3.703
yccE	b1001		1.077
na	b0999		5.352
na	b1000		5.615
agp	b1002		4.602
na	b1003		8.122
rutF	b1007		0.6752
na	b4518		4.388
rutE	b1008		-0.8923
rutG	b1006		2.146
rutC	b1010		-3.755
rutD	b1009		-0.4694
rutB	b1011		-3.475
rutA	b1012		0.1832
rutR	b1013		3.656
na	b1004		7.011
putA	b1014		3.005
putP	b1015		3.871
na	b1016		-17.71
na	b1017		3.277
efeO	b1018		4.198
efeB	b1019		3.529
na	b1021		1.641
phoH	b1020		4.227
pgaA	b1024		1.917
pgaC	b1022		1.075
pgaB	b1023		1.177
dgcT	b1025		2.917
na	b1032		-22.7
ymdE	b1028		-18.83
ycdU	b1029		-0.768
ghrA	b1033		4.938
insF-4	b1026		-11.41
na	G0-10531		3.39
na	b1027		4.904
ycdX	b1034		5.252
ycdZ	b1036		4.283
ycdY	b1035		5.058
na	b1038		3.62
csgG	b1037		3.694
na	b1039		3.838
csgD	b1040		4.301
csgC	b1043		-3.736
na	b1042		3.202
na	b1041		-3.375
ymdB	b1045		4.114
ymdA	b1044		1.78
clsC	b1046		2.984
opgC	b1047		2.221
na	b1050		1.988
mdtG	b1053		2.135
msyB	b1051		6.722
lpxL	b1054		4.221
na	b1048		5.479
opgH	b1049		4.832
na	b1058		-20.99
na	b1057		2.278
yceA	b1055		4.545
na	b1056		4.508
na	b1060		4.702
na	b1061		4.822
solA	b1059		5.122
yceB	b1063		4.73
pyrC	b1062		5.606
mdtH	b1065		1.932
rimJ	b1066		5.108
grxB	b1064		5.908
yceH	b1067		5.099
na	b1071		2.83
yceM	b1068		3.979
na	b1074		1.295
na	b1073		1.86
na	b1070		2.914
flgA	b1072		2.328
murJ	b1069		3.13
na	b1077		1.138
na	b1078		2.053
na	b1075		1.875
na	b1076		2.122
flgH	b1079		1.074
na	b1083		2.942
na	b1082		1.695
na	b1080		0.7596
na	b1081		0.936
yceQ	b1085		-9.25
ompA	b0957		9.643
rluC	b1086		4.516
rne	b1084		5.455
yceF	b1087		5.812
na	b4418		-0.8179
na	b1089		8.578
yceD	b1088		7.726
plsX	b1090		4.96
fabH	b1091		5.473
fabD	b1092		6.086
na	b1093		7.206
na	b1094		10.01
pabC	b1096		3.726
ycfH	b1100		4.885
na	b1097		3.544
na	b1098		4.6
holB	b1099		3.649
fabF	b1095		6.105
fhuE	b1102		2.931
na	b1103		6.4
ycfL	b1104		5.807
lpoB	b1105		5.323
thiK	b1106		3.775
nagZ	b1107		4.632
ycfP	b1108		6.265
ycfJ	b1110		2.118
comR	b1111		4.133
na	b1112		5.201
ndh	b1109		4.669
ldtC	b1113		3.349
ptsG	b1101		7.256
ycfT	b1115		0.01993
mfd	b1114		4.377
nagK	b1119		4.621
cobB	b1120		4.945
na	b1116		4.393
lolD	b1117		4.254
lolE	b1118		4.433
ycfZ	b1121		0.3406
na	b1122		1.554
potA	b1126		4.425
pepT	b1127		5.407
na	b1123		6.129
potC	b1124		3.968
potB	b1125		3.452
roxA	b1128		5.511
phoQ	b1129		4.47
na	b1130		5.927
hflD	b1132		4.764
nudJ	b1134		3.914
na	b1135		4.016
mnmA	b1133		5.286
purB	b1131		5.55
na	G0-8897		-22.7
ymfD	b1137		2.695
na	b1142		-1.884
ymfE	b1138		2.591
