Search Gene	Found FBGN	Found Gene	extended cold, 4-day adult	cold shock, 4-day adult	heat shock, 4-day adult	Cadmium 50 mM 6 hrs, larvae L3	Cadmium 50 mM 12 hrs, larvae L3	Cadmium 50 mM 48 hrs, 4-day adult	Cadmium 100 mM 48 hrs, 4-day adult	Copper 0.5 mM 12 hrs, larvae L3	Copper 15 mM 48 hrs, 4-day adult	Zinc 5 mM 12 hrs, larvae L3	Zinc 4.5 mM 48 hrs, 4-day adult	Ethanol 2.5% 3 hrs, larvae L3	Ethanol 5% 3 hrs, larvae L3	Ethanol 10% 3 hrs, larvae L3	Caffeine 1.5 mg/ml 4 hrs, larvae L3	Caffeine 2.5 mg/ml 48 hrs, 4-day adult	Caffeine 25 mg/ml 48 hrs, 4-day adult	Paraquat 5 mM 48 hrs, 4-day adult	Paraquat 10 mM 48 hrs, 4-day adult	Rotenone 2 µg 12 hrs, larvae L3	Rotenone 8 µg 12 hrs, larvae L3	Rotenone starved, 10-day adult	Sindbis virus, larval stage	Sindbis virus, pupal stage	Sindbis virus, 4-day adult male	Sindbis virus, 4-day adult female	Resveratrol 100uM, 10-day adult
FBgn0052006	FBgn0052006	CG32006	0	0	0	0	2	1	2	0	4	0	3	0	1	0	1	2	1	1	1	1	0	1	1	1	0	0	0
FBgn0052016	FBgn0052016	4E-T	16	14	31	12	40	34	57	8	60	9	30	45	22	14	23	52	20	47	35	23	8	9	7	19	10	19	10
FBgn0052017	FBgn0052017	CG32017	1	1	2	1	4	3	5	0	11	0	6	2	2	1	3	3	2	5	2	2	1	1	2	2	1	3	1
FBgn0052022	FBgn0052022	CG32022	6	5	8	6	7	7	10	3	9	7	9	14	7	6	6	11	4	11	14	7	6	10	10	13	7	11	8
FBgn0052023	FBgn0052023	CG32023	2	1	2	2	8	1	1	0	3	3	1	3	1	1	1	10	5	10	20	1	0	15	48	13	1	33	23
FBgn0052029	FBgn0052029	Cpr66D	19	14	2	1	2	2	1	0	2	5	3	2	1	1	0	1	10	3	5	1	0	15	17	214	16	7	21
FBgn0052036	FBgn0052036	CG32036	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	4	1	14	0	0	0
FBgn0052037	FBgn0052037	CG32037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	0	0
FBgn0052040	FBgn0052040	CG32040	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	3	1	2	1	0	0
FBgn0052053	FBgn0052053	CG32053	1	1	3	9	5	4	2	3	1	2	2	2	9	6	9	1	1	1	3	12	8	7	4	1	17	5	6
