gene_id,NEUTRAL,SELECTED,locus,fpkm_geomean
hisF,0.03535942735262799,0.03356934206986206,b2025,6.108
lpxD,0.03500587838018744,0.02851318747825129,b0179,6.332
tdcB,0.0260800766035456,0.02645829910832336,b3117,-0.2067
ftsI,0.01558353797293822,0.01403050477135339,b0084,4.675
nagK,0.03356297026333939,0.02854461863154742,b1119,4.621
exuR,0.02448583348112684,0.0310506086478041,b3094,5.313
gcvT,0.02163060707615245,0.02266381532664441,b2905,4.114
udk,0.07223610845086409,0.03645638647009262,b2066,4.508
paaK,0.0240834605515081,0.01600192658395092,b1398,2.408
cysQ,0.05834145765921322,0.03696887994737816,b4214,4.842
ackA,0.03600799805808324,0.02341852497578448,b2296,6.343
fixX,0.18259410430839,0.08936460695389266,NA,NA
hemG,Inf,0.0309858221566053,b3850,4.675
hemN,0.02169652101976011,0.01682232050851679,b3867,4.478
fabA,0.1419046667618096,0.05264874135548072,b0954,7.07
rbsD,0.08084567953290897,0.06125213328338328,b3748,4.487
phnC,0.0411256623192416,0.03593176694336181,b4106,-6.637
tatD,0.0548233291363854,0.02783649293895029,b4483,3.064
rpmE,Inf,0.2980183531746032,NA,NA
sseB,Inf,0.0235508110141374,b2522,4.777
pepP,0.02235375800454125,0.01980454409331688,b2908,5.465
speE,0.03678805695884422,0.02811331460289197,b0121,5.62
gabD,0.03619777072782208,0.02142832639206552,b2661,3.925
deoD,0.097976039033334,0.04050470035110867,b4384,6.266
yhhY,0.04274267441197386,0.05747986038232251,b3441,3.588
mliC,Inf,0.0732689037153323,b1639,3.534
recN,0.0188147857667531,0.02031923703728911,b2616,3.144
queA,Inf,0.02242581493752963,b0405,3.756
aroC,0.03168037539002089,0.02372028967148407,b2329,5.295
psiE,0.10298374625984516,0.04406813119725207,b4030,4.33
adk,Inf,0.05876991018675383,b0474,6.593
citE,0.08229468434095714,0.03701753410630978,b0616,-4.347
rng,0.02267585207262687,0.01645336094479742,b3247,4.765
cydC,0.06941265054149261,0.01578416517755326,b0886,4.17
purL,0.01031939713090339,0.00747995741263636,b2557,5.04
mrcA,0.02089461774792702,0.01032855984895529,b3396,3.121
gstA,0.07808997493179164,0.02726759689624949,b1635,5.387
ubiE,0.07843357692382354,0.02733421547613871,b3833,5.47
hxpB,0.10639233353524476,0.04110047082246757,b1727,4.794
nth,0.0358059223405251,0.02633814356588977,b1633,3.587
phoR,0.02866697484352092,0.0177508400150787,b0400,2.718
nfuA,0.07252388189370325,0.04594069235307929,b3414,5.536
